"","","FEM","MAS","Fundamental 1","Fundamental 2","Medio","Superior","Mais de 5","2 a 5","1 a 2","Ate 1","16 a 24","25 a 34","35 a 44","45 a 54","55 ou mais","Branca","Preta ou parda","Outras","Catolica","Evangelica","Outras","CAPITAL","INTERIOR","PERIFERIA","NORDESTE","NORTE-CENTRO-OESTE","SUDESTE","SUL","Não","Sim","Não","Sim","Não","Sim","Não","Sim","Aécio Neves","Branco e Nulo","Dilma Rousseff","NS/NR*","Branco e Nulo","Dilma Rousseff","Eduardo Campos","NS/NR*","Aprova","Desaprova","NS/NR*","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","DEM","Não sabe/ Não respondeu","Nenhum/ Não tem preferência","Outros com menos de 1%","PDT","PMDB","PP","PSB","PSD","PSDB","PSOL","PT","PTB","PV","Satisfeito","Insatisfeito","NS/NR*","Ótimo e bom","Regular","Ruim e péssimo","NS/NR*","Quer mudança","Quer continuidade","NS/NR*","Tem muito interesse","Tem médio interesse","Não tem interesse","NS/NR*","FEM","MAS","Fundamental 1","Fundamental 2","Medio","Superior","Mais de 5","2 a 5","1 a 2","Ate 1","16 a 24","25 a 34","35 a 44","45 a 54","55 ou mais","Branca","Preta ou parda","Outras","Catolica","Evangelica","Outras","CAPITAL","INTERIOR","PERIFERIA","NORDESTE","NORTE-CENTRO-OESTE","SUDESTE","SUL","Não","Sim","Não","Sim","Não","Sim","Não","Sim","Aécio Neves","Branco e Nulo","Dilma Rousseff","NS/NR*","Branco e Nulo","Dilma Rousseff","Eduardo Campos","NS/NR*","Aprova","Desaprova","NS/NR*","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","Ficou igual","Melhorou muito","Melhorou um pouco","Não sabe/ Não respondeu","Piorou muito","Piorou um pouco","DEM","Não sabe/ Não respondeu","Nenhum/ Não tem preferência","Outros com menos de 1%","PDT","PMDB","PP","PSB","PSD","PSDB","PSOL","PT","PTB","PV","Satisfeito","Insatisfeito","NS/NR*","Ótimo e bom","Regular","Ruim e péssimo","NS/NR*","Quer mudança","Quer continuidade","NS/NR*","Tem muito interesse","Tem médio interesse","Não tem interesse","NS/NR*"
"nao",NA,48.1,42.1,44.8,52.6,46.9,25.8,27.4,36.5,48.2,67.8,57.9,47.2,46,35.6,37.5,32.2,52.6,47.6,46.5,42.7,40.9,47.4,47.6,25.3,64.7,46.9,30.6,24.7,45.5,18.2,45.7,43.8,44.1,51.4,44.6,48.9,41.2,27.3,46,21.4,30,45.5,44.1,40,44.8,43.2,60.9,44.4,49.3,44.7,71.4,52.9,34.7,46.2,53.2,49.4,66.7,38.6,42,41.5,43.9,41.9,85.7,57.6,49.5,43.3,57.5,48.7,50,41.1,36.2,66.7,74.1,38.9,55,60,48.8,50,33.3,66.7,27.3,42.9,46.4,60,50,44.1,51.9,NA,44.4,48.5,33.3,40,49.1,40.8,55.6,43.7,41.8,48.4,33.3,51.9,57.9,55.2,47.4,53.1,74.2,72.6,63.5,51.8,32.2,42.1,52.8,54,64.4,62.5,67.8,47.4,52.4,53.5,57.3,59.1,52.6,52.4,74.7,35.3,53.1,69.4,75.3,54.5,81.8,54.3,56.2,55.9,48.6,55.4,51.1,58.8,72.7,54,78.6,70,54.5,55.9,60,55.2,56.8,39.1,55.6,50.7,55.3,28.6,47.1,65.3,53.8,46.8,50.6,33.3,61.4,58,58.5,56.1,58.1,14.3,42.4,50.5,56.7,42.5,51.3,50,58.9,63.8,33.3,25.9,61.1,45,40,51.2,50,66.7,33.3,72.7,57.1,53.6,40,50,55.9,48.1,NA,55.6,51.5,66.7,60,50.9,59.2,44.4,56.3,58.2,51.6,66.7
"sim",NA,51.9,57.9,55.2,47.4,53.1,74.2,72.6,63.5,51.8,32.2,42.1,52.8,54,64.4,62.5,67.8,47.4,52.4,53.5,57.3,59.1,52.6,52.4,74.7,35.3,53.1,69.4,75.3,54.5,81.8,54.3,56.2,55.9,48.6,55.4,51.1,58.8,72.7,54,78.6,70,54.5,55.9,60,55.2,56.8,39.1,55.6,50.7,55.3,28.6,47.1,65.3,53.8,46.8,50.6,33.3,61.4,58,58.5,56.1,58.1,14.3,42.4,50.5,56.7,42.5,51.3,50,58.9,63.8,33.3,25.9,61.1,45,40,51.2,50,66.7,33.3,72.7,57.1,53.6,40,50,55.9,48.1,NA,55.6,51.5,66.7,60,50.9,59.2,44.4,56.3,58.2,51.6,66.7,48.1,42.1,44.8,52.6,46.9,25.8,27.4,36.5,48.2,67.8,57.9,47.2,46,35.6,37.5,32.2,52.6,47.6,46.5,42.7,40.9,47.4,47.6,25.3,64.7,46.9,30.6,24.7,45.5,18.2,45.7,43.8,44.1,51.4,44.6,48.9,41.2,27.3,46,21.4,30,45.5,44.1,40,44.8,43.2,60.9,44.4,49.3,44.7,71.4,52.9,34.7,46.2,53.2,49.4,66.7,38.6,42,41.5,43.9,41.9,85.7,57.6,49.5,43.3,57.5,48.7,50,41.1,36.2,66.7,74.1,38.9,55,60,48.8,50,33.3,66.7,27.3,42.9,46.4,60,50,44.1,51.9,NA,44.4,48.5,33.3,40,49.1,40.8,55.6,43.7,41.8,48.4,33.3
